연월,평균기온,최고기온,최저기온,평균상대습도,월합강수량,일최다강수량,1시간최다강수량,평균풍속,최대풍속,합계 일조시간,일조율,최심적설,최심신적설,평균지면온도,소비자물가지수,배추가격(원),ds,y,holiday
2018-05,17.59263157894737,29.534736842105264,6.058947368421053,72.62105263157895,132.56736842105263,42.96526315789473,14.44421052631579,2.124468085106383,9.066315789473684,200.93263157894737,45.998315789473686,0.0,0.0,20.49157894736842,98.979,2736,2018-05,2736,0
2018-06,21.925263157894737,33.12,12.891578947368421,72.51578947368421,146.87263157894736,79.81473684210526,25.226315789473684,1.8557894736842107,7.4936842105263155,208.3557894736842,47.76894736842105,0.0,0.0,26.931578947368422,98.779,3835,2018-06,3835,0
2018-07,26.545263157894738,36.64947368421053,16.926315789473684,78.14736842105263,168.3421052631579,76.26105263157895,24.026315789473685,1.82,7.048421052631579,240.51789473684212,54.27410526315789,0.0,0.0,31.5468085106383,98.59,6785,2018-07,6785,0
2018-08,27.04105263157895,37.50105263157894,18.113684210526316,77.02105263157895,292.8715789473684,118.04947368421054,38.44631578947369,2.011578947368421,9.058947368421054,213.14315789473682,51.05189473684211,0.0,0.0,31.78421052631579,99.462,6428,2018-08,6428,0
2018-09,20.33473684210526,29.68,9.715789473684211,77.32631578947368,152.21157894736842,59.025263157894734,27.330526315789474,1.747872340425532,7.346315789473684,161.17894736842106,43.34642105263158,0.0,0.0,22.54105263157895,100.221,3966,2018-09,3966,0
2018-10,13.047368421052632,25.14,2.274736842105263,71.91578947368421,166.57473684210527,94.9642105263158,18.342105263157894,1.8536842105263158,10.614736842105263,215.48,61.70336842105263,0.0,0.0,14.821052631578947,100.041,3061,2018-10,3061,0
2018-11,8.166315789473684,20.129473684210527,-2.522105263157895,70.36842105263158,47.72631578947368,34.3821052631579,0.1,1.4631578947368422,7.928421052631579,173.6821052631579,56.47547368421053,4.433333333333334,4.433333333333334,8.322340425531914,99.33,2813,2018-11,2813,김장철
2018-12,1.4031578947368422,16.45263157894737,-11.018947368421053,60.10526315789474,32.31578947368421,14.294736842105262,0.0,2.0673684210526315,7.982105263157894,170.9294736842105,56.642526315789475,6.271428571428571,5.071428571428571,1.7031578947368422,98.988,2626,2018-12,2626,김장철
2019-01,0.4452631578947368,10.733684210526317,-9.083157894736841,55.357894736842105,9.501052631578947,6.407368421052632,0.0,2.12,8.050526315789472,205.63894736842107,66.22968421052632,3.4923076923076923,3.3615384615384616,0.4189473684210527,98.884,2464,2019-01,2464,0
2019-02,2.4989473684210526,14.810526315789474,-7.667368421052632,58.189473684210526,33.64421052631579,20.693684210526317,0.7,2.0610526315789475,7.821052631578947,180.26736842105265,59.294421052631584,5.25,4.13,3.1389473684210527,99.311,2252,2019-02,2252,0
2019-03,7.409473684210526,20.34315789473684,-3.04,60.4468085106383,42.30842105263158,18.556842105263158,0.0,2.3157894736842106,9.578947368421053,216.3242105263158,58.36294736842106,1.7,1.7,8.615789473684211,99.121,2271,2019-03,2271,0
2019-04,11.801052631578946,26.298947368421054,-1.5305263157894737,63.05263157894737,78.13052631578947,30.010526315789473,7.753684210526316,2.0042105263157897,8.536842105263158,195.76736842105265,49.89136842105263,0.7,0.7,14.131578947368421,99.481,2364,2019-04,2364,0
